BatchSize,CleanStart,DrawReward,EpsilonDecay,EpsilonEnd,EpsilonStart,Gamma,IllegalMoveReward,IllegalMoves,LearningRate,LegalMoves,LegalNonEndingMoveReward,LossReward,NumEpisodes,Outcome,Tau,WinReward
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,2,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,3,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,5,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,4,0.010000,4,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,3,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,4,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,2,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,3,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,1,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,18,0.010000,5,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,1,0.010000,4,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,3,0.010000,4,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,5,0.010000,5,1000.000000,1000.000000,500,0,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,4,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,5,0.010000,5,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,4,0.010000,3,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,5,0.010000,4,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,3,1000.000000,1000.000000,500,1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,4,0.010000,4,1000.000000,1000.000000,500,-1,0.005000,1000.000000
128,0,1000.000000,1000.000000,0.050000,0.900000,0.990000,-1000.000000,0,0.010000,4,1000.000000,1000.000000,500,1,0.005000,1000.000000
